,Unnamed: 0,dataset,n_samples,n_clusters,algorithm,algorithm_params,vectorizer_name,vectorizer_params,vectorizer_time,run,algorithm_time,total_time,ami,ari,homogeneity,completeness,v-measure,micro_pr,macro_pr,weighted_pr,micro_rc,macro_rc,weighted_rc,micro_f1,macro_f1,weighted_f1
0,0,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,0,10.974315166473389,14.266624212265016,0.6530540780515974,0.5447656025457895,0.6515777628979808,0.65679216839758,0.6541745748461943,0.6893770561392338,0.6153153156647428,0.632893074990594,0.6893770561392338,0.6715321521620361,0.6893770561392338,0.6893770561392338,0.6374789483181738,0.6550662640252167
1,1,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,1,10.33973503112793,13.632044076919556,0.634913229621177,0.5049240961190501,0.6326880651273509,0.6395368350416739,0.636094015588641,0.6336092539530935,0.5629292410116562,0.5788955094105209,0.6336092539530935,0.6189974263498683,0.6336092539530935,0.6336092539530935,0.5766350662949031,0.5916279889705855
2,2,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,2,11.75653624534607,15.048845291137695,0.6708962230232972,0.5500085245777149,0.6687453414251394,0.6752056282010699,0.6719599577194195,0.6938872970391595,0.6245759893732041,0.6369739897284225,0.6938872970391595,0.6812249666455893,0.6938872970391595,0.6938872970391595,0.6431149487987062,0.6554552074598268
3,3,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,3,9.917834043502808,13.210143089294434,0.6611772598301346,0.5490371586815566,0.6578682888281212,0.6667404616320358,0.6622746625129327,0.6937811737238672,0.6418773981538405,0.6608846739746823,0.6937811737238672,0.6754838357288654,0.6937811737238672,0.6937811737238672,0.6485624954419508,0.6669502870453476
4,4,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,4,9.74940276145935,13.041711807250977,0.6390344620592341,0.5166880643144277,0.6371366785489789,0.6432953568306782,0.6402012065490847,0.6454950652658389,0.5728402626411921,0.5882686749977905,0.6454950652658389,0.6297863470760092,0.6454950652658389,0.6454950652658389,0.5904199489239464,0.6057642590903923
5,5,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,5,10.73851490020752,14.030823945999146,0.6489836547586353,0.5240836915537203,0.64479587707205,0.6555375867835035,0.6501223647209285,0.6560543351374297,0.5843605538549479,0.597790826955104,0.6560543351374297,0.6412985383687375,0.6560543351374297,0.6560543351374297,0.5994920310600482,0.6135344339704474
6,6,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,6,11.158945083618164,14.45125412940979,0.6366087224673869,0.5165845525449354,0.6302748906273808,0.6454907761260447,0.6377920944669184,0.6183805582086385,0.5305507889302109,0.5465316063654305,0.6183805582086385,0.5989055246745545,0.6183805582086385,0.6183805582086385,0.5488492526148245,0.5665126035584908
7,7,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,7,11.540788888931274,14.8330979347229,0.6508834789543612,0.5377235857706254,0.6457828586875763,0.658373994901633,0.652017645489532,0.6491563196434257,0.5845107297645942,0.6028873958041543,0.6491563196434257,0.6279734068863143,0.6491563196434257,0.6491563196434257,0.5912796325175182,0.6108891747966044
8,8,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,8,9.625867128372192,12.918176174163818,0.6463141257783946,0.5268689171014578,0.6413011260091962,0.6537446251604975,0.6474630936539814,0.6336092539530935,0.5615746558068044,0.5712314179224917,0.6336092539530935,0.6201152556543448,0.6336092539530935,0.6336092539530935,0.5788064426978535,0.5902446136001048
9,9,20 News Groups,18846,20,sIB,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,9,9.98006510734558,13.272374153137209,0.6531922586460062,0.5465140137913536,0.6507560870381707,0.6579112082783812,0.6543140873925976,0.6779157380876578,0.6381479490630174,0.6486407092395063,0.6779157380876578,0.664843565349446,0.6779157380876578,0.6779157380876578,0.6445034681826325,0.6563215816892853
10,10,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,0,7.617716073989868,10.910025119781494,0.0026797122513775714,1.9049874105156258e-05,0.0028364873718506414,0.1993062340249583,0.005593370981022394,0.05560861721320174,0.19139205993574926,0.1966443483637006,0.05560861721320174,0.052665168057207445,0.05560861721320174,0.05560861721320174,0.010312178413644594,0.010504551421308633
11,11,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,1,5.9838972091674805,9.276206254959106,0.014941325877750647,0.0007606328665028075,0.009606366556870683,0.13965926573315393,0.017976249175554466,0.06234744773426722,0.3272434081274107,0.33588408423832655,0.06234744773426722,0.05916889473631524,0.06234744773426722,0.06234744773426722,0.01786190071354261,0.01849961196941286
12,12,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,2,8.098822832107544,11.39113187789917,0.014183404338722973,0.0007135528652195812,0.009116959417884879,0.13952563245218028,0.017115545589156598,0.061710707842513,0.29499771527005264,0.2835008495782698,0.061710707842513,0.0585163758316549,0.061710707842513,0.061710707842513,0.01716481342321024,0.017860112378405374
13,13,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,3,6.748670101165772,10.040979146957396,0.00286712820589294,1.1034649634182246e-05,0.0030633250068236952,0.22431387848038412,0.006044109108459775,0.05566167887084793,0.27966974514846854,0.2808555226466584,0.05566167887084793,0.05274383474806758,0.05566167887084793,0.05566167887084793,0.010526177914550267,0.01085285221836864
14,14,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,4,6.053171873092651,9.345480918884276,0.0022993061746124717,1.8457741408973846e-05,0.0025345263577357963,0.2613810198333844,0.005020371810153453,0.05523718560967845,0.30710800337162286,0.29207615317453806,0.05523718560967845,0.05231598527472592,0.05523718560967845,0.05523718560967845,0.00969511311263509,0.009834559817211408
15,15,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,5,6.1190478801727295,9.411356925964355,0.009243496078575185,0.0003770406412489974,0.006384423371998346,0.13045306255545797,0.012173090960898953,0.05911068661784994,0.26460572962384477,0.2700464008797035,0.05911068661784994,0.056261281644306736,0.05911068661784994,0.05911068661784994,0.015010725140798774,0.015320202685433555
16,16,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,6,7.22396993637085,10.516278982162476,0.002352588542991564,7.870715182230978e-06,0.0026355875750221063,0.2457328735962592,0.0052152395305790624,0.055396370582617004,0.3069433623470692,0.2951281716306689,0.055396370582617004,0.05243647176320811,0.055396370582617004,0.055396370582617004,0.009917577809097081,0.01013008153098175
17,17,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,7,7.741175174713135,11.03348422050476,0.00369393783334242,5.2313645772954004e-05,0.003311203677915548,0.1452152928511614,0.0064747694588516164,0.05592698715907885,0.31766545456552464,0.31198751886334347,0.05592698715907885,0.053032664481850525,0.05592698715907885,0.05592698715907885,0.01083630888797052,0.011218613647335219
18,18,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,8,7.036827087402344,10.32913613319397,0.0023192683283072366,1.7642357139403173e-05,0.002614685461859481,0.19112547955408674,0.005158796192207852,0.055396370582617004,0.2629712182520632,0.27320298699872253,0.055396370582617004,0.05261779455253428,0.055396370582617004,0.055396370582617004,0.010213795677725582,0.010385907519876725
19,19,20 News Groups,18846,20,K-Means,{},TF,"{'max_features': 10000, 'stop_words': 'english'}",3.292309045791626,9,6.885809183120728,10.178118228912354,0.002749691075197549,2.767977886241424e-06,0.0029047886528972425,0.20423669034819225,0.005728108377806805,0.05582086384378648,0.23844653324022252,0.24725886820776521,0.05582086384378648,0.05271261788934212,0.05582086384378648,0.05582086384378648,0.01044250752100363,0.010946051759528527
20,20,20 News Groups,18846,20,K-Means,{},TF/IDF,"{'max_features': 10000, 'stop_words': 'english'}",3.4290239810943604,0,9.59592318534851,13.024947166442873,0.38973318826316167,0.1489502146464036,0.35885689226769846,0.4316217922522088,0.39189027619818406,0.3495702005730659,0.40856940091585603,0.4030024625893726,0.3495702005730659,0.3404468598267093,0.3495702005730659,0.3495702005730659,0.3180014635711215,0.32319480126660455
21,21,20 News Groups,18846,20,K-Means,{},TF/IDF,"{'max_features': 10000, 'stop_words': 'english'}",3.4290239810943604,1,10.003427028656006,13.432451009750366,0.39194959328984696,0.1660875093319586,0.3621139625860125,0.43227271448868204,0.39409519338298343,0.35779475750822454,0.34429016357887166,0.35251412486289274,0.35779475750822454,0.34598724525217595,0.35779475750822454,0.35779475750822454,0.3154902078143501,0.3247889700324936
22,22,20 News Groups,18846,20,K-Means,{},TF/IDF,"{'max_features': 10000, 'stop_words': 'english'}",3.4290239810943604,2,10.110169172286987,13.539193153381348,0.32379046722481797,0.12255147646172837,0.29794684125496074,0.3603545084947301,0.3261925183012711,0.3208107821288337,0.38202172344577134,0.39101574408948425,0.3208107821288337,0.31199177552117596,0.3208107821288337,0.3208107821288337,0.289708765817592,0.296982345350275
23,23,20 News Groups,18846,20,K-Means,{},TF/IDF,"{'max_features': 10000, 'stop_words': 'english'}",3.4290239810943604,3,10.960371017456056,14.389394998550417,0.35553812031768833,0.14421123894459253,0.32619072665678317,0.39626542854547064,0.357829626491375,0.340125225512045,0.4032001478056591,0.4124134817818412,0.340125225512045,0.3301803575054316,0.340125225512045,0.340125225512045,0.30750250690636716,0.31656865879001356
24,24,20 News Groups,18846,20,K-Means,{},TF/IDF,"{'max_features': 10000, 'stop_words': 'english'}",3.4290239810943604,4,10.08173394203186,13.51075792312622,0.37332337220759765,0.16620931223839844,0.3488531020548902,0.40657141965379395,0.3755072727379167,0.35705189430117795,0.3318740802548959,0.3422325095864008,0.35705189430117795,0.34416099883785933,0.35705189430117795,0.357051894301178,0.3083979140578957,0.3188117455310452
25,25,20 News Groups,18846,20,K-Means,{},TF/IDF,"{'max_features': 10000, 'stop_words': 'english'}",3.4290239810943604,5,11.890554189682009,15.319578170776367,0.3479294519919467,0.12075659893163765,0.3187670666247324,0.38865056787584584,0.35025703466180297,0.33948848562029077,0.460011466830455,0.46084873320043984,0.33948848562029077,0.3302554363022086,0.33948848562029077,0.33948848562029077,0.32039226942598176,0.3264329034000937
